xml_file,run_path,run_id,bam_file,is_hifi_bam,total_length,num_records,instrument_id,instrument_name,context,created_at,run_name,sample_name,well_name,insert_size,loading_concentration,application,movie_length_min,target_insert_size,binding_kit,binding_kit_part,cell_type,run_type,sts_file,num_sequencing_zmws,actual_movie_length_min,total_bases,yield_gb,p0_empty,p1_single,p2_multi,p0_percent,p1_percent,p2_percent,productive_zmws,productivity_percent,mean_read_length,median_read_length,n50_read_length,snr_a,snr_c,snr_g,snr_t
m64241e_260130_115017.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20260130_113841/1_A01,r64241e_20260130_113841,m64241e_260130_115017.reads.bam,False,10039786592.0,2069751.0,64241e,RapunzlSequel2e,m64241e_260130_115017,2026-01-30 11:01:46.678000+00:00,Run20250130_OrderPB065_2_4rerunA,PB065_2_rerun4,A01,9015.0,110.0,otherWGS,1800.0,9015.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (1/tray),CCS/HiFi,m64241e_260130_115017.sts.xml,8014497,1800,10043437056,10.04,4489669,1201728,720053,56.02,14.99,8.98,2119236,26.44,5402.0,5945.0,8426.0,9.47,14.3,3.54,6.33
m64241e_251217_191611.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251216_074812/2_B01,r64241e_20251216_074812,m64241e_251217_191611.reads.bam,False,49590025044.0,6089642.0,64241e,RapunzlSequel2e,m64241e_251217_191611,2025-12-16 07:43:22.728000+00:00,Run20251216_OrderPB065_2,Order65_2_8022,B01,4584.0,110.0,otherWGS,1800.0,4584.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251217_191611.sts.xml,8011642,1800,50520702976,50.52,2130041,2210180,3521780,26.59,27.59,43.96,6108685,76.25,102565.0,74217.0,208362.0,15.03,21.97,4.84,10.32
m64241e_251216_100941.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251216_074812/1_A01,r64241e_20251216_074812,m64241e_251216_100941.reads.bam,False,77170523603.0,6330814.0,64241e,RapunzlSequel2e,m64241e_251216_100941,2025-12-16 07:43:22.728000+00:00,Run20251216_OrderPB065_2,Order65_2_Meio,A01,9974.0,110.0,otherWGS,1800.0,9974.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251216_100941.sts.xml,8013641,1800,78438899712,78.44,1897930,1946182,4002303,23.68,24.29,49.94,6351419,79.26,88429.0,55217.0,190075.0,12.08,18.12,4.18,8.3
m64241e_251219_045356.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251216_074812/3_C01,r64241e_20251216_074812,m64241e_251219_045356.reads.bam,False,86008553638.0,6132173.0,64241e,RapunzlSequel2e,m64241e_251219_045356,2025-12-16 07:43:22.728000+00:00,Run20251216_OrderPB065_2,Order65_2_MDA_8022,C01,8413.0,110.0,otherWGS,1800.0,8413.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251219_045356.sts.xml,8012204,1800,86820470784,86.82,1889465,1824736,4015429,23.58,22.77,50.12,6151771,76.78,93195.0,58724.0,203936.0,12.7,35.25,4.14,8.52
m64241e_251220_155154.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251216_074812/4_D01,r64241e_20251216_074812,m64241e_251220_155154.reads.bam,False,46820599426.0,5336746.0,64241e,RapunzlSequel2e,m64241e_251220_155154,2025-12-16 07:43:22.728000+00:00,Run20251216_OrderPB065_2,Order65_2_MDA_8558,D01,9015.0,110.0,otherWGS,1800.0,9015.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251220_155154.sts.xml,8012967,1800,47072468992,47.07,2855139,2153972,2823387,35.63,26.88,35.24,5374483,67.07,17056.0,11107.0,37337.0,31.18,50.34,10.44,22.27
m64241e_251201_165148.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251127_121353/4_D01,r64241e_20251127_121353,m64241e_251201_165148.reads.bam,False,89588394667.0,5682399.0,64241e,RapunzlSequel2e,m64241e_251201_165148,2025-11-27 07:58:33.079000+00:00,Run20251127_OrderPB065.1,OrderPB065.1_MDA_Meio,D01,9424.0,110.0,otherWGS,1800.0,9424.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251201_165148.sts.xml,8012662,1800,90896678912,90.9,2686134,2165900,3067305,33.52,27.03,38.28,5705894,71.21,87192.0,54041.0,183462.0,10.85,15.87,4.06,7.28
m64241e_251130_073802.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251127_121353/3_C01,r64241e_20251127_121353,m64241e_251130_073802.reads.bam,False,77668277866.0,6170081.0,64241e,RapunzlSequel2e,m64241e_251130_073802,2025-11-27 07:58:33.079000+00:00,Run20251127_OrderPB065.1,OrderPB065.1_Meio,C01,9974.0,110.0,otherWGS,1800.0,9974.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251130_073802.sts.xml,8012751,1800,78861369344,78.86,2184051,2241162,3466196,27.26,27.97,43.26,6189331,77.24,95358.0,62112.0,196691.0,12.86,18.86,4.62,8.96
m64241e_251128_215008.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251127_121353/2_B01,r64241e_20251127_121353,m64241e_251128_215008.reads.bam,False,97015811144.0,5713716.0,64241e,RapunzlSequel2e,m64241e_251128_215008,2025-11-27 07:58:33.079000+00:00,Run20251127_OrderPB065.1,OrderPB065.1_MDA_8044.5,B01,12106.0,110.0,otherWGS,1800.0,12106.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251128_215008.sts.xml,8012247,1800,98023514112,98.02,2626672,2080574,3186451,32.78,25.97,39.77,5735592,71.59,100087.0,65292.0,211429.0,16.21,23.45,5.73,12.0
m64241e_251127_122509.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251127_121353/1_A01,r64241e_20251127_121353,m64241e_251127_122509.reads.bam,False,66051740090.0,6134976.0,64241e,RapunzlSequel2e,m64241e_251127_122509,2025-11-27 07:58:33.079000+00:00,Run20251127_OrderPB065.1,OrderPB065.1_8044.5,A01,6594.0,110.0,otherWGS,1800.0,6594.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251127_122509.sts.xml,8012427,1800,66922098688,66.92,2119533,2282669,3463410,26.45,28.49,43.23,6155597,76.83,110335.0,77385.0,227349.0,25.39,36.46,7.1,19.48
m64241e_251026_183229.consensusreadset.xml,xml_samples/projects/codon_0000/data/RapunzlSequel2e/r64241e_20251022_065030/4_D01,r64241e_20251022_065030,m64241e_251026_183229.reads.bam,False,23651286640.0,1455157.0,64241e,RapunzlSequel2e,m64241e_251026_183229,2025-10-22 06:41:39.448000+00:00,Run 10.22.2025 08:31,PB062_6_opH_mda_2,D01,9495.0,110.0,otherWGS,1800.0,9495.0,Sequel® II Binding Kit 3.2,102-194-100,Sequel® II SMRT® Cell 8M (4/tray),CCS/HiFi,m64241e_251026_183229.sts.xml,8012509,1800,23890974720,23.89,6701155,1173030,125275,83.63,14.64,1.56,1463316,18.26,116558.0,83444.0,237726.0,10.06,14.68,3.87,6.73
